MOVA,B	00000000010000100000
MOVB,A	00000000001010000000
MOVA,L	00000000010001000000
MOVB,L	00000000001001000000
MOVA,(REG)	00000000000010000001
MOVB,(REG)	00000000000000100001
MOV(REG),A	00000000000010000001
MOV(REG),B	00000000000000100001
ADDA,B	00000000010010100000
ADDB,A	00000000001010100000
ADDA,L	00000000010011000000
ADDB,L	00000000001011000000
ADDA,(REG)	00000000010011100000
ADDB,(REG)	00000000001011100000
ADD(REG)	00000000000010100000
SUBA,B	00000000010010100010
SUBB,A	00000000001010100010
SUBA,L	00000000010011000010
SUBB,L	00000000001011000010
SUBA,(REG)	00000000010011100010
SUBB,(REG)	00000000001011100010
SUB(REG)	00000000000010100011
ANDA,B	00000000010010100100
ANDB,A	00000000001010100100
ANDA,L	00000000010011000100
ANDB,L	00000000001011000100
ANDA,(REG)	00000000010011100100
ANDB,(REG)	00000000001011100100
AND(REG)	00000000000010100101
ORA,B	00000000010010100110
ORB,A	00000000001010100110
ORA,L	00000000010011000110
ORB,L	00000000001011000110
ORA,(REG)	00000000010011100110
ORB,(REG)	00000000001011100110
OR(REG)	00000000000010100111
XORA,B	00000000010010101000
XORB,A	00000000001010101000
XORA,L	00000000010011001000
XORB,L	00000000001011001000
XORA,(REG)	00000000010011101000
XORB,(REG)	00000000001011101000
XOR(REG)	00000000000010101001
NOTA	00000000010010101010
NOTB,A	00000000001010101010
NOT(REG),A	00000000010010101011
SHLA	00000000010010101110
SHLB,A	00000000001010101110
SHL(REG),A	00000000010010101111
SHRA	00000000010010101100
SHRB,A	00000000001010101100
SHR(REG),A	00000000010010101101
INCB	00000000001100100000
INC(REG)	00000000000101100000
CMPA,B	00000000000010100010
CMPA,L	00000000000011000010
CMPA,(REG)	00000000000011100010
JMPINS	00000000000000010000
JEQINS	00100000000000010000
JNEINS	01000000000000010000
NOP	00000000000000000000
MOVA,(B)	00000010010001100000
MOVB,(B)	00000010001001100000
MOV(B),A	00000010000010000001
MOV(B),L	00000000000001000001
ADDA,(B)	00000010010011100000
ADDB,(B)	00000010001011100000
SUBA,(B)	00000010010011100010
SUBB,(B)	00000010001011100010
ANDA,(B)	00000010010011100100
ANDB,(B)	00000010001011100100
ORA,(B)	00000010010011100110
ORB,(B)	00000010001011100110
XORA,(B)	00000010010011101000
XORB,(B)	00000010001011101000
NOT(B),A	00000000001010001011
SHL(B),A	00000000001010001111
SHR(B),A	00000000001010001101
INC(B)	00000000001101100000
CMPA,(B)	00000000011011110000
JGTINS	01100000000000010000
JGEINS	10000000000000010000
JLTINS	10100000000000010000
JLEINS	11000000000000010000
JCRINS	11100000000000010000
PUSHA	00001110010010000001
PUSHB	00001110001000100001
POPA	00010000000000000000;00000110010001100000
POPB	00010000000000000000;00000110001001100000
CALLINS	00001111000000010001
RET	00010000000000000000;00000110100000010000